Ano,IdRegion,IdServicio,IdComuna,IdEstablecimiento,servicio_salud_master,comuna_master,establecimiento_master,tipo_establecimiento_master,dependencia_master,estado_funcionamiento_master,codigo_madre_master,50_54 | Mes 6,50_54 | Mes 12,50_54 | Diferencia,55_59 | Mes 6,55_59 | Mes 12,55_59 | Diferencia,60_64 | Mes 6,60_64 | Mes 12,60_64 | Diferencia,65_69 | Mes 6,65_69 | Mes 12,65_69 | Diferencia,numerador_mujeres_50_69 | Mes 6,numerador_mujeres_50_69 | Mes 12,numerador_mujeres_50_69 | Diferencia,Total mes 6,Total mes 12,Diferencia,Variacion %,Alerta
2025,13,10,13601,200365,Servicio de Salud Metropolitano Occidente,Talagante,Centro Comunitario de Salud Familiar Villa Los Presidentes,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Vigente en Operación Habitual,110390,74,73,-1,61,61,0,31,38,7,18,7,-11,184,179,-5,184,179,-5,-2.72,Baja de mes 6 a mes 12
2025,13,13,13401,113315,Servicio de Salud Metropolitano Sur,San Bernardo,Centro de Salud Familiar Confraternidad,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,303,289,-14,243,249,6,202,210,8,79,74,-5,827,822,-5,827,822,-5,-0.6,Baja de mes 6 a mes 12
2025,13,9,13125,109715,Servicio de Salud Metropolitano Norte,Quilicura,Centro Comunitario de Salud Familiar Pucara de Lasana,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Vigente en Operación Habitual,109315,15,13,-2,13,21,8,20,12,-8,17,16,-1,65,62,-3,65,62,-3,-4.62,Baja de mes 6 a mes 12
2025,13,10,13505,110495,Servicio de Salud Metropolitano Occidente,San Pedro,Posta de Salud Rural El Prado,Posta de Salud Rural (PSR),Municipal,Vigente en Operación Habitual,,12,14,2,11,8,-3,8,6,-2,2,2,0,33,30,-3,33,30,-3,-9.09,Baja de mes 6 a mes 12
2025,13,14,13201,114329,Servicio de Salud Metropolitano Sur Oriente,Puente Alto,Centro de Salud Familiar San Alberto Hurtado Red de Salud UC CHRISTUS,Centro de Salud Familiar (CESFAM),Delegado,Vigente en Operación Habitual,,281,295,14,313,302,-11,273,264,-9,139,142,3,1006,1003,-3,1006,1003,-3,-0.3,Baja de mes 6 a mes 12
2025,13,14,13202,114401,Servicio de Salud Metropolitano Sur Oriente,Pirque,Posta de Salud Rural Puntilla,Posta de Salud Rural (PSR),Municipal,Vigente en Operación Habitual,,12,11,-1,12,12,0,13,12,-1,8,8,0,45,43,-2,45,43,-2,-4.44,Baja de mes 6 a mes 12
2025,13,9,13301,109417,Servicio de Salud Metropolitano Norte,Colina,Posta de Salud Rural Los Ingleses,Posta de Salud Rural (PSR),Municipal,Vigente en Operación Habitual,,32,19,-13,14,19,5,17,19,2,8,13,5,71,70,-1,71,70,-1,-1.41,Baja de mes 6 a mes 12
2025,13,9,13303,109410,Servicio de Salud Metropolitano Norte,Tiltil,Posta de Salud Rural La Capilla de Caleu,Posta de Salud Rural (PSR),Municipal,Vigente en Operación Habitual,,15,23,8,16,16,0,9,10,1,19,9,-10,59,58,-1,59,58,-1,-1.69,Baja de mes 6 a mes 12
2025,13,10,13505,110490,Servicio de Salud Metropolitano Occidente,San Pedro,Posta de Salud Rural La Manga,Posta de Salud Rural (PSR),Municipal,Vigente en Operación Habitual,,8,8,0,11,11,0,3,5,2,6,3,-3,28,27,-1,28,27,-1,-3.57,Baja de mes 6 a mes 12
2025,13,14,13202,114406,Servicio de Salud Metropolitano Sur Oriente,Pirque,Posta de Salud Rural San Vicente,Posta de Salud Rural (PSR),Municipal,Vigente en Operación Habitual,,5,8,3,5,5,0,10,8,-2,5,3,-2,25,24,-1,25,24,-1,-4.0,Baja de mes 6 a mes 12
