Ano,Mes,IdRegion,IdServicio,IdComuna,IdEstablecimiento,50_54,55_59,60_64,65_69,numerador_mujeres_50_69,servicio_salud_piv,dependencia_piv,comuna_piv,establecimiento_piv,denominador_piv_mujeres_50_69,codigo_madre_master,servicio_salud_master,tipo_establecimiento_master,establecimiento_master,dependencia_master,comuna_master,estado_funcionamiento_master,denominador_disponible,cobertura_mamografia_pct,advertencia_cobertura_establecimiento
2025,12,13,9,13302,109312,189,155,118,59,521,Metropolitano Norte,Municipal ,Lampa,Centro De Salud Familiar Batuco,1666.0,,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Batuco,Municipal,Lampa,Vigente en Operación Habitual,True,31.27250900360144,
2025,12,13,9,13302,109712,61,68,54,27,210,Metropolitano Norte,Municipal ,Lampa,Centro Comunitario De Salud Familiar Batuco,643.0,109312,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Batuco,Municipal,Lampa,Vigente en Operación Habitual,True,32.65940902021773,
2025,12,13,9,13302,201212,175,148,127,48,498,,,,,,,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Juan Pablo II de Lampa,Municipal,Lampa,Vigente en Operación Habitual,False,,Sin denominador PIV directo; no usar como cobertura establecimiento
2025,12,13,9,13303,109104,132,118,108,100,458,,,,,,,Servicio de Salud Metropolitano Norte,Hospital,Hospital de Til Til,Servicio de Salud,Tiltil,Vigente en Operación Habitual,False,,Sin denominador PIV directo; no usar como cobertura establecimiento
2025,12,13,9,13303,109320,160,131,95,79,465,Metropolitano Norte,Municipal ,Tiltil,Centro De Salud Familiar Huertos Familiares,1547.0,,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Huertos Familiares,Municipal,Tiltil,Vigente en Operación Habitual,True,30.058177117000646,
2025,12,13,9,13303,109410,23,16,10,9,58,Metropolitano Norte,Municipal ,Tiltil,Posta De Salud Rural La Capilla De Caleu,69.0,,Servicio de Salud Metropolitano Norte,Posta de Salud Rural (PSR),Posta de Salud Rural La Capilla de Caleu,Municipal,Tiltil,Vigente en Operación Habitual,True,84.05797101449275,
2025,12,13,9,13303,109412,26,18,19,18,81,Metropolitano Norte,Municipal ,Tiltil,Posta De Salud Rural Montenegro,59.0,,Servicio de Salud Metropolitano Norte,Posta de Salud Rural (PSR),Posta de Salud Rural Montenegro,Municipal,Tiltil,Vigente en Operación Habitual,True,137.28813559322032,
2025,12,13,9,13303,109413,24,13,12,15,64,Metropolitano Norte,Municipal ,Tiltil,Posta De Salud Rural Rungue,65.0,,Servicio de Salud Metropolitano Norte,Posta de Salud Rural (PSR),Posta de Salud Rural Rungue,Municipal,Tiltil,Vigente en Operación Habitual,True,98.46153846153847,
2025,12,13,9,13303,109414,63,46,48,24,181,Metropolitano Norte,Municipal ,Tiltil,Posta De Salud Rural Polpaico,222.0,,Servicio de Salud Metropolitano Norte,Posta de Salud Rural (PSR),Posta de Salud Rural Polpaico,Municipal,Tiltil,Vigente en Operación Habitual,True,81.53153153153153,
2025,12,13,10,13103,110330,365,323,313,135,1136,Metropolitano Occidente,Municipal ,Cerro Navia,Centro De Salud Familiar Dr. Adalberto Steeger,4636.0,,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Adalberto Steeger,Municipal,Cerro Navia,Vigente en Operación Habitual,True,24.50388265746333,
