Mes,IdServicio,Ano,IdEstablecimiento,CodigoPrestacion,descripcion_prestacion,IdRegion,IdComuna,mujeres_mamografia_vigente,trans_masculino_mamografia_vigente,pueblos_originarios,migrantes,tramo_edad
12,10,2025,110160,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13503,133,0,0,3,65_69
6,10,2025,110720,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13126,45,0,0,4,50_54
6,10,2025,110720,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13126,62,0,1,5,55_59
6,10,2025,110758,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13124,9,0,0,0,65_69
12,10,2025,110758,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13124,8,0,0,1,65_69
6,10,2025,110720,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13126,63,0,1,1,60_64
6,10,2025,110720,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13126,47,0,0,0,65_69
6,14,2025,114331,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13110,204,0,7,33,50_54
6,10,2025,110431,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13603,25,0,0,1,50_54
6,10,2025,110431,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13603,31,0,0,1,55_59
6,10,2025,110431,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13603,32,0,1,2,60_64
12,10,2025,110310,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13126,144,0,6,42,50_54
12,10,2025,110310,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13126,114,0,1,37,55_59
12,10,2025,110310,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13126,106,0,4,29,60_64
12,10,2025,110310,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13126,61,0,2,9,65_69
6,9,2025,109303,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13127,468,0,0,0,55_59
12,10,2025,200454,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13602,68,0,0,1,50_54
12,10,2025,200454,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13602,47,0,1,0,55_59
12,10,2025,200454,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13602,64,0,0,0,60_64
12,10,2025,200454,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13602,32,0,0,1,65_69
6,14,2025,114330,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13110,217,0,2,8,55_59
6,14,2025,114329,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13201,313,0,0,0,55_59
6,14,2025,114329,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13201,273,0,0,0,60_64
6,14,2025,114329,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13201,139,0,0,0,65_69
6,10,2025,110775,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13603,34,0,0,0,50_54
6,10,2025,110310,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13126,96,0,0,51,50_54
6,10,2025,110310,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13126,131,0,2,57,55_59
6,10,2025,110310,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13126,91,0,0,36,60_64
6,10,2025,110310,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13126,82,0,1,17,65_69
12,10,2025,110362,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13128,375,0,35,2,50_54
12,10,2025,110362,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13128,257,0,26,1,55_59
12,10,2025,110362,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13128,319,0,23,4,60_64
12,10,2025,110362,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13128,278,0,21,0,65_69
12,10,2025,110750,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13124,17,0,0,0,50_54
12,10,2025,110750,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13124,17,0,0,0,55_59
12,10,2025,110750,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13124,34,0,1,0,60_64
12,10,2025,110750,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13124,10,0,1,0,65_69
6,10,2025,110355,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13103,207,0,16,23,50_54
6,10,2025,110355,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13103,237,0,13,22,55_59
6,11,2025,111380,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13119,341,0,16,11,50_54
6,11,2025,111380,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13119,372,0,13,10,55_59
6,10,2025,110752,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13124,62,0,0,4,50_54
6,10,2025,110752,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13124,68,0,0,3,55_59
6,10,2025,110440,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13501,89,0,0,0,50_54
6,10,2025,110440,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13501,79,0,0,0,55_59
6,10,2025,110440,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13501,88,0,0,0,60_64
12,10,2025,110385,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13504,223,0,5,1,50_54
12,10,2025,110385,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13504,201,0,4,0,55_59
12,10,2025,110385,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13504,216,0,4,0,60_64
12,10,2025,110432,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13603,17,0,0,0,50_54
12,10,2025,110432,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13603,7,0,0,0,55_59
12,10,2025,110432,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13603,9,0,0,0,60_64
12,10,2025,110432,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13603,5,0,0,0,65_69
12,10,2025,110308,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13605,347,0,6,5,50_54
12,10,2025,110308,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13605,292,0,1,4,55_59
12,10,2025,110308,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13605,292,0,2,6,60_64
12,10,2025,110308,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13605,115,0,0,1,65_69
12,10,2025,110781,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13501,48,0,1,1,50_54
12,10,2025,110781,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13501,32,0,0,4,55_59
12,10,2025,110781,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13501,27,0,0,3,60_64
6,10,2025,110440,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13501,51,0,0,0,65_69
12,10,2025,110385,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13504,133,0,2,0,65_69
6,10,2025,110781,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13501,30,0,0,0,50_54
6,10,2025,110781,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13501,8,0,2,0,55_59
6,10,2025,110781,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13501,8,0,1,0,60_64
