IdEstablecimiento,IdEstablecimiento_denominador_original,servicio_salud_denominador,dependencia_denominador,comuna_denominador,establecimiento_denominador,denominador_poblacion_inscrita_validada_mujeres_50_69,codigo_madre_master,IdServicio_master,servicio_salud_master,tipo_establecimiento_master,establecimiento_master,dependencia_master,IdComuna_master,comuna_master,estado_funcionamiento_master
110380,110380,Metropolitano Occidente,Municipal ,Melipilla,Centro De Salud Familiar San Manuel,1370,,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar San Manuel,Municipal,13501,Melipilla,Vigente en Operación Habitual
110381,110381,Metropolitano Occidente,Municipal ,Melipilla,Centro De Salud Rural Alfarera Rosa Reyes Vilches,758,,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Alfarera Rosa Reyes Vilches,Municipal,13501,Melipilla,Vigente en Operación Habitual
110385,110385,Metropolitano Occidente,Municipal ,María Pinto,Centro De Salud Familiar Adriana Madrid De Costabal,1008,,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Adriana Madrid De Costabal,Municipal,13504,Maria Pinto,Vigente en Operación Habitual
110387,110387,Metropolitano Occidente,Municipal ,San Pedro,Centro De Salud Familiar San Pedro,1077,,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar San Pedro,Municipal,13505,San Pedro,Vigente en Operación Habitual
110390,110390,Metropolitano Occidente,Municipal ,Talagante,Centro De Salud Familiar Dr. Alberto Allende Jones,7678,,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Alberto Allende Jones,Municipal,13601,Talagante,Vigente en Operación Habitual
110393,110393,Metropolitano Occidente,Municipal ,Alhué,Centro De Salud Familiar Villa Alhué,805,,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Villa Alhué,Municipal,13502,Alhué,Vigente en Operación Habitual
110400,110400,Metropolitano Occidente,Municipal ,Talagante,Posta De Salud Rural Aliro Cárcarmo (Lonquén),70,,10,Servicio de Salud Metropolitano Occidente,Posta de Salud Rural (PSR),Posta de Salud Rural Aliro Cárcarmo (Lonquén),Municipal,13601,Talagante,Vigente en Operación Habitual
110410,110410,Metropolitano Occidente,Municipal ,Pudahuel,Centro Comunitario De Salud Familiar Irene Frei Montalva,63,110351,10,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Irene Frei Montalva,Municipal,13124,Pudahuel,Vigente en Operación Habitual
110425,110425,Metropolitano Occidente,Municipal ,Isla De Maipo,Centro De Salud Familiar La Islita,722,,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar La Islita,Municipal,13603,Isla de Maipo,Vigente en Operación Habitual
110430,110430,Metropolitano Occidente,Municipal ,Isla De Maipo,Posta De Salud Rural San Antonio De Naltagua,83,,10,Servicio de Salud Metropolitano Occidente,Posta de Salud Rural (PSR),Posta de Salud Rural San Antonio de Naltagua,Municipal,13603,Isla de Maipo,Vigente en Operación Habitual
