Mes,IdServicio,Ano,IdEstablecimiento,CodigoPrestacion,descripcion_prestacion,IdRegion,IdComuna,mujeres_mamografia_vigente,trans_masculino_mamografia_vigente,pueblos_originarios,migrantes,tramo_edad
12,10,2025,110354,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13124,202,0,8,6,50_54
12,10,2025,110354,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13124,393,0,6,6,55_59
12,10,2025,110354,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13124,399,0,9,7,60_64
12,10,2025,110364,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13128,303,0,16,25,50_54
12,10,2025,110364,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13128,241,0,4,23,55_59
12,10,2025,110364,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13128,179,0,6,11,60_64
12,10,2025,110364,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13128,84,0,4,0,65_69
12,10,2025,110345,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13117,227,0,15,10,50_54
12,10,2025,110345,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13117,215,0,11,5,55_59
12,10,2025,110345,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13117,270,0,14,1,60_64
12,10,2025,110345,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13117,147,0,6,3,65_69
12,10,2025,110354,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13124,173,0,8,4,65_69
12,10,2025,110355,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13103,224,0,13,28,50_54
12,10,2025,110355,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13103,250,0,14,26,55_59
12,10,2025,110362,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13128,375,0,35,2,50_54
12,10,2025,110360,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13128,954,0,0,80,50_54
12,10,2025,110360,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13128,883,0,0,59,55_59
